wavelength,flux
4450.806977,1.351257E-14
4453.761062,1.353986E-14
4456.715148,1.344036E-14
4459.669233,1.339564E-14
4462.623319,1.34044e-14
4465.577404,1.325841E-14
4468.53149,1.320464E-14
4471.485575,1.331892E-14
4474.439661,1.351505E-14
4477.393746,1.35519e-14
4480.347832,1.340408E-14
4483.301917,1.335089E-14
4486.256003,1.344645E-14
4489.210088,1.350978E-14
4492.164174,1.355323E-14
4495.118259,1.365659E-14
4498.072345,1.377694E-14
4501.02643,1.386343E-14
4503.980516,1.374803E-14
4506.934601,1.373656E-14
4509.888687,1.384206E-14
4512.842772,1.388288E-14
4515.796858,1.382267E-14
4518.750943,1.379116E-14
4521.705029,1.37665e-14
4524.659114,1.369937E-14
4527.6132,1.373952E-14
4530.567285,1.373808E-14
4533.521371,1.374313E-14
4536.475456,1.360568E-14
4539.429542,1.347379E-14
4542.383627,1.355717E-14
4545.337713,1.353772E-14
4548.291798,1.340233E-14
4551.245884,1.341323E-14
4554.199969,1.355509E-14
4557.154055,1.362562E-14
4560.10814,1.360095E-14
4563.062226,1.356514E-14
4566.016311,1.356615E-14
4568.970397,1.35414e-14
4571.924483,1.347471E-14
4574.878568,1.344109E-14
4577.832654,1.336059E-14
4580.786739,1.328773E-14
4583.740825,1.323889E-14
4586.69491,1.328427E-14
4589.648996,1.324295E-14
4592.603081,1.313071E-14
4595.557167,1.308698E-14
4598.511252,1.308333E-14
4601.465338,1.323814E-14
4604.419423,1.326585E-14
4607.373509,1.308636E-14
4610.327594,1.303193E-14
4613.28168,1.317689E-14
4616.235765,1.315483E-14
4619.189851,1.302227E-14
4622.143936,1.307626E-14
4625.098022,1.316736E-14
4628.052107,1.310999E-14
4631.006193,1.303717E-14
4633.960278,1.303014E-14
4636.914364,1.305938E-14
4639.868449,1.302514E-14
4642.822535,1.298028E-14
4645.77662,1.303741E-14
4648.730706,1.301647E-14
4651.684791,1.298104E-14
4654.638877,1.302837E-14
4657.592962,1.304885E-14
4660.547048,1.311757E-14
4663.501133,1.307898E-14
4666.455219,1.30429e-14
4669.409304,1.311212E-14
4672.36339,1.30983e-14
4675.317475,1.295133E-14
4678.271561,1.281612E-14
4681.225646,1.283267E-14
4684.179732,1.29212e-14
4687.133817,1.296935E-14
4690.087903,1.294527E-14
4693.041988,1.29187e-14
4695.996074,1.298448E-14
4698.950159,1.300901E-14
4701.904245,1.291795E-14
4704.85833,1.284177E-14
4707.812416,1.28491e-14
4710.766501,1.292658E-14
4713.720587,1.300403E-14
4716.674673,1.296448E-14
4719.628758,1.289756E-14
4722.582844,1.284237E-14
4725.536929,1.290507E-14
4728.491015,1.297727E-14
4731.4451,1.292434E-14
4734.399186,1.279535E-14
4737.353271,1.281789E-14
4740.307357,1.296367E-14
4743.261442,1.302974E-14
4746.215528,1.310933E-14
4749.169613,1.31282e-14
4752.123699,1.307525E-14
4755.077784,1.300417E-14
4758.03187,1.297182E-14
4760.985955,1.293445E-14
4763.940041,1.288355E-14
4766.894126,1.283897E-14
4769.848212,1.290115E-14
4772.802297,1.281549E-14
4775.756383,1.281798E-14
4778.710468,1.295903E-14
4781.664554,1.301482E-14
4784.618639,1.300129E-14
4787.572725,1.297846E-14
4790.52681,1.301756E-14
4793.480896,1.311099E-14
4796.434981,1.30952e-14
4799.389067,1.298811E-14
4802.343152,1.289498E-14
4805.297238,1.285018E-14
4808.251323,1.286388E-14
4811.205409,1.283433E-14
4814.159494,1.289195E-14
4817.11358,1.301689E-14
4820.067665,1.309098E-14
4823.021751,1.314786E-14
4825.975836,1.315727E-14
4828.929922,1.309695E-14
4831.884007,1.314543E-14
4834.838093,1.32226e-14
4837.792178,1.332111E-14
4840.746264,1.332209E-14
4843.700349,1.320729E-14
4849.60852,1.320134E-14
4852.562606,1.321341E-14
4855.516691,1.32173e-14
4858.470777,1.331742E-14
4861.424862,1.339314E-14
4864.378948,1.336907E-14
4867.333034,1.337131E-14
4870.287119,1.336954E-14
4873.241205,1.339313E-14
4876.19529,1.340417E-14
4879.149376,1.340235E-14
4882.103461,1.340256E-14
4885.057547,1.339197E-14
4888.011632,1.341104E-14
4890.965718,1.342806E-14
4893.919803,1.34927e-14
4896.873889,1.350996E-14
4899.827974,1.347849E-14
4902.78206,1.35264e-14
4905.736145,1.35986e-14
4908.690231,1.356622E-14
4911.644316,1.348974E-14
4914.598402,1.359541E-14
4917.552487,1.368559E-14
4920.506573,1.36496e-14
4923.460658,1.373163E-14
4926.414744,1.378657E-14
4929.368829,1.378038E-14
4932.322915,1.377201E-14
4935.277,1.377229E-14
4938.231086,1.379613E-14
4941.185171,1.385374E-14
4944.139257,1.392359E-14
4947.093342,1.40378e-14
4950.047428,1.40533e-14
4953.001513,1.397905E-14
4955.955599,1.39776e-14
4958.909684,1.400906E-14
4961.86377,1.412539E-14
4964.817855,1.418772E-14
4967.771941,1.413494E-14
4970.726026,1.410555E-14
4973.680112,1.417832E-14
4976.634197,1.419722E-14
4979.588283,1.415823E-14
4982.542368,1.415391E-14
4985.496454,1.418303E-14
4988.450539,1.424301E-14
4991.404625,1.428162E-14
4994.35871,1.42986e-14
4997.312796,1.434606E-14
5000.266881,1.432058E-14
5003.220967,1.426752E-14
5006.175052,1.432381E-14
5009.129138,1.442782E-14
5012.083224,1.444418E-14
5015.037309,1.450754E-14
5017.991395,1.458567E-14
5020.94548,1.45953e-14
5023.899566,1.45613e-14
5026.853651,1.458143E-14
5029.807737,1.47292e-14
5032.761822,1.47627e-14
5035.715908,1.469617E-14
5038.669993,1.475779E-14
5041.624079,1.482319E-14
5044.578164,1.48724e-14
